Rank,Release Group,Worldwide,Domestic,%,Foreign,%
218,Pray: The Story of Patrick Peyton,"$70,694","$70,694",100%,-,-
219,How to Build a Girl,"$70,632","$70,632",100%,-,-
220,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
221,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
222,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
223,A Simple Wedding,"$54,415","$54,415",100%,-,-
224,House of Cardin,"$52,669",-,-,"$52,669",100%
225,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
226,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
227,The Way I See It,"$49,030","$49,030",100%,-,-
228,VHYes,"$47,037","$47,037",100%,-,-
229,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
230,Spree,"$43,840","$28,771",65.6%,"$15,069",34.4%
231,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
232,Three Christs,"$36,723","$36,723",100%,-,-
233,Tread,"$36,527","$36,527",100%,-,-
234,Waiting for Anya,"$36,404",-,-,"$36,404",100%
235,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
236,Rent-A-Pal,"$31,053","$30,901",99.5%,$152,0.5%
237,After Parkland,"$30,444","$30,444",100%,-,-
238,Olympic Dreams,"$29,450","$29,450",100%,-,-
239,Buffaloed,"$29,118","$29,118",100%,-,-
240,Abe,"$28,657",-,-,"$28,657",100%
241,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
242,José,"$26,563","$26,563",100%,-,-
243,Unsubscribe,"$25,488","$25,488",100%,-,-
244,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
245,Stage Mother,"$24,736",-,-,"$24,736",100%
246,The Trial of the Chicago 7,"$24,357",-,-,"$24,357",100%
247,Heart of Africa,"$24,139","$24,139",100%,-,-
248,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
249,Premature,"$23,071","$23,071",100%,-,-
250,L'Innocente,"$22,549","$22,549",100%,-,-
251,Tar,"$22,307","$22,307",100%,-,-
252,The Pale Door,"$21,166",-,-,"$21,166",100%
253,Jiu Jitsu,"$20,355",-,-,"$20,355",100%
254,Lore,"$20,006","$20,006",100%,-,-
255,She Is the Ocean,"$20,003","$18,828",94.1%,"$1,175",5.9%
256,Foster Boy,"$19,873","$19,873",100%,-,-
257,Mandy 2020 Re-release,"$19,169","$19,169",100%,-,-
258,Embattled,"$18,429","$18,429",100%,-,-
259,Shithouse,"$18,370","$18,370",100%,-,-
260,Made in Hong Kong,"$17,843","$17,843",100%,-,-
261,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
262,Advocate,"$16,942","$16,942",100%,-,-
263,Centigrade,"$16,263","$16,263",100%,-,-
264,Straight Up,"$16,080","$16,080",100%,-,-
265,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
266,Counter Column,"$15,529","$15,529",100%,-,-
267,American Deep State,"$15,269","$15,269",100%,-,-
268,"I Was at Home, But...","$14,078","$14,078",100%,-,-
269,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
270,Dreamland,"$11,896",-,-,"$11,896",100%
271,The Grizzlies,"$11,650","$11,650",100%,-,-
272,Powerbomb,"$11,319","$11,319",100%,-,-
273,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
274,Lost in America,"$11,301","$11,301",100%,-,-
275,You Go to My Head,"$10,682","$10,682",100%,-,-
276,Coded Bias,"$10,236","$10,236",100%,-,-
277,Guest Artist,"$10,017","$10,017",100%,-,-
278,Foosballers,"$9,966","$9,966",100%,-,-
279,Just One More Kiss,"$9,130","$9,130",100%,-,-
280,Kindred,"$8,921","$8,921",100%,-,-
281,LX 2048,"$8,393",-,-,"$8,393",100%
282,Inside the Rain,"$8,140","$8,140",100%,-,-
283,The Wave,"$8,101","$8,101",100%,-,-
284,I AM PATRICK,"$7,896",-,-,"$7,896",100%
285,Dreaming Grand Avenue,"$7,789","$7,789",100%,-,-
286,Valley Girl,"$7,671",-,-,"$7,671",100%
287,The Other Lamb,"$7,385","$6,024",81.6%,"$1,361",18.4%
288,I Am Lisa,"$6,986","$6,986",100%,-,-
289,What We Found,"$6,976","$6,976",100%,-,-
290,12 Hour Shift,"$6,820","$6,820",100%,-,-
291,Human Capital,"$6,596","$6,596",100%,-,-
292,Afterward,"$6,477","$6,477",100%,-,-
293,In the Life of Music,"$6,069","$6,069",100%,-,-
294,Lie Exposed,"$5,938","$5,938",100%,-,-
295,Find Your Voice,"$5,862","$5,862",100%,-,-
296,Sex and the Future,"$5,745","$5,745",100%,-,-
297,Still Here,"$5,268","$5,268",100%,-,-
298,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
299,No Ordinary Love,"$4,656","$4,656",100%,-,-
300,King's Gambit,"$3,816","$3,816",100%,-,-
301,Bang! Bang!,"$3,172","$3,172",100%,-,-
302,Last Call,"$2,541","$2,541",100%,-,-
303,Moondance,"$2,371","$2,371",100%,-,-
304,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
305,Goldie,"$2,302","$2,302",100%,-,-
306,The Transcendents,"$2,041","$2,041",100%,-,-
307,Gul Makai,"$2,035",-,-,"$2,035",100%
308,The Shade Shepherd,"$2,015","$2,015",100%,-,-
309,Stardust,"$1,704","$1,704",100%,-,-
310,The Fox Hunter,"$1,577","$1,577",100%,-,-
311,Fear Pharm,"$1,157","$1,157",100%,-,-
312,The Father,"$1,141",-,-,"$1,141",100%
313,Hai Tang Hong,"$1,107","$1,107",100%,-,-
314,Greater 2020 Re-release,$527,$527,100%,-,-
315,"Amigo Skate, Cuba",$500,$500,100%,-,-
316,Spaceship Earth,$362,-,-,$362,100%
317,Kiki's Delivery Service Studio Ghibli Fest 2020,$131,-,-,$131,100%
